"NHL Attendance.  Lots of notes, below, especially for 1991-92 through 1999-2000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Location,Team Name,Former Location,Previuous Name,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Anaheim,Mighty Ducks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592883,553990,492087,"573,524","614,476",,"619,380","670,916","704,932","696,629","621,903","604,283","605,171","381,308","675,248","691,835","669,805","653,632","682,060"
Atlanta,Thrashers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705446,625780,560404,"552,535","619,965",,"637,578","665,417","648,811",,,,,,,,,,
Boston,Bruins,,,368002,389986,405454,444715,,,,,,585117,578874,585514,570287,469823,494744,519444,494633,446903,480989,530870,543534,530297,497277,485159,548301,563730,572571,573607,,,,,,,,,669237,632746,631546,"616,197","620,469",,"664,673","605,352","630,750","698,638","695,543","702,600","720,145","421,560","720,165","720,165","769,846","720,165","720,165"
Buffalo,Sabres,,,,,,,,,,379121,597622,609570,618973,635159,657320,657320,657320,657320,657320,657320,619400,515766,566562,613441,587635,527241,571088,572648,"634,692","626,171",,,,,,,,,736174,731438,705468,"564,827","626,903",,"693,329","766,290","817,956","759,798","759,695","756,568","760,558","455,290","761,767","761,809","762,223","743,819","761,104"
Calgary ,Flames,Atlanta ,Flames,,,,,,,,,,488106,552314,537761,478500,490356,420026,457640,400961,288679,289258,289680,666960,667320,670480,671920,755252,778324,794444,796946,,,,,,,,,628158,681535,644466,"665,808","679,767",,"790,849","790,849","790,849","790,849","790,849","771,560","790,849","462,936","791,389","782,977","784,974","767,829","775,105"
Carolina,Hurricanes,"Hartford, CT",Whalers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508374,547184,635868,"642,973","495,544",,"639,454","712,861","681,962","679,488","624,873","656,611","657,747","421,401","634,832","516,375","500,363","482,829","546,142"
Chicago,Backhawks,,,581593,601452,630913,621260,,,,,,,617147,593100,,,,,,,,,,677093,668554,672127,673399,646400,719382,716854,,,,,,,808044,710503,667237,614875,638324,"606,580","543,374",,"546,075","521,809","689,377","912,155","854,267","878,356","882,874","522,619","927,545","892,532","896,240","891,827","887,794"
Cleveland,Barons,"Oakland, California","Oakland Seals, California Seals (merged with Minnesota North Stars in 78-79 season)",,,,,183507,172481,236555,208953,237542,208803,191782,246897,277977,247758,na,*****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Avalanche,"Quebec, Canada",Nordiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738287,738287,738287,"738,287","738,287",,"738,287","722,127","690,552","632,602","571,849","607,650","635,440","370,677","668,133","663,247","698,327","608,252","639,063"
Columbus,Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,715740,743576,"727,522","712,145",,"688,655","672,443","607,757","637,284","632,086","546,350","601,061","349,558","602,619","635,973","601,293","650,157","683,034"
